STATION,DATE,PRCP,TAVG,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11
USW00094846,2016-01-01,0,23,,,,,,,,,
USW00094846,2016-01-02,0,27,,,,,,,,,
USW00094846,2016-01-03,0,27,,,,,,,,,
USW00094846,2016-01-04,0,27,1,,,,,,,,
USW00094846,2016-01-05,0,26,,,,,,,,,
USW00094846,2016-01-06,0,28,,,,,,,,,
USW00094846,2016-01-07,0.01,36,,,,,,,,,
USW00094846,2016-01-08,0.19,38,1,,,,,,,,
USW00094846,2016-01-09,0.27,37,1,1,,1,,,,,
USW00094846,2016-01-10,0,19,,,,,,,,,
USW00094846,2016-01-11,0.11,5,1,,,,,,1,,
USW00094846,2016-01-12,0.01,14,1,,,,,,1,1,
USW00094846,2016-01-13,0,7,,,,,,,,,
USW00094846,2016-01-14,0,31,,,,,,,,,
USW00094846,2016-01-15,0.01,40,1,,,,,,,,
USW00094846,2016-01-16,0,28,,,,,,,,,
USW00094846,2016-01-17,0,8,,,,,,,1,,
USW00094846,2016-01-18,0,1,,,,,,,,,
USW00094846,2016-01-19,0,6,,,,,,,,,
USW00094846,2016-01-20,0.05,17,1,,,,,,,,
USW00094846,2016-01-21,0,19,1,,,,,,1,,
USW00094846,2016-01-22,0.02,24,1,,,,,,,,
USW00094846,2016-01-23,0,28,,,,,,,,,
USW00094846,2016-01-24,0,27,1,,,,,,1,,
USW00094846,2016-01-25,0.13,31,1,,,,,,,,
USW00094846,2016-01-26,0.02,33,1,,,1,,,,,
USW00094846,2016-01-27,0,28,,,,,,,,,
USW00094846,2016-01-28,0,34,,,,,,,,,
USW00094846,2016-01-29,0,28,,,,,,,,,
USW00094846,2016-01-30,0,38,,,,,,,,,
USW00094846,2016-01-31,0.02,42,1,,,,,,,,
USW00094846,2016-02-01,0,36,1,,,,,,,,
USW00094846,2016-02-02,0.79,35,1,1,1,,,,1,,
USW00094846,2016-02-03,0.02,36,1,1,,,,,,,
USW00094846,2016-02-04,0,27,,,,,,,,,
USW00094846,2016-02-05,0,29,,,,,,,,,
USW00094846,2016-02-06,0,31,1,,,,,,1,,
USW00094846,2016-02-07,0,38,,,,,,,,,
USW00094846,2016-02-08,0.02,31,1,,,,,,1,,
USW00094846,2016-02-09,0.02,19,1,,,,,,1,,
USW00094846,2016-02-10,0,14,,,,,,,,,
USW00094846,2016-02-11,0,13,,,,,,,,,
USW00094846,2016-02-12,0,19,,,,,,,,,
USW00094846,2016-02-13,0,9,,,,,,,,,
USW00094846,2016-02-14,0.1,14,1,1,,,,,1,,
USW00094846,2016-02-15,0.01,21,1,,,,,1,,,
USW00094846,2016-02-16,0.04,27,1,,,,,,1,,
USW00094846,2016-02-17,0,28,1,,,,,,1,,
USW00094846,2016-02-18,0,30,,,,,,,,,
USW00094846,2016-02-19,0,47,,,,,,,,,
USW00094846,2016-02-20,0,49,,,,,,,,,
USW00094846,2016-02-21,0,40,,,,,,,,,
USW00094846,2016-02-22,0,35,,,,,,,,,
USW00094846,2016-02-23,0,36,1,,,,,,,,
USW00094846,2016-02-24,0.15,35,1,1,,,,,,,
USW00094846,2016-02-25,0,33,,,,,,,,,
USW00094846,2016-02-26,0,31,,,,,,,,,
USW00094846,2016-02-27,0,37,,,,,,,,,
USW00094846,2016-02-28,0.08,52,1,,,,,,,,
USW00094846,2016-02-29,0,41,,,,1,,1,,,
USW00094846,2016-03-01,0.1,28,1,1,,1,,1,,,
USW00094846,2016-03-02,0,21,1,,,,,,,,
USW00094846,2016-03-03,0.07,30,1,,,,,,,,
USW00094846,2016-03-04,0.07,30,1,,,,,,,,
USW00094846,2016-03-05,0,33,1,,,,,1,1,,
USW00094846,2016-03-06,0,39,,,,,,,,,
USW00094846,2016-03-07,0.03,51,,,,,,,,,
USW00094846,2016-03-08,0,62,,,,,,,,,
USW00094846,2016-03-09,0.18,61,1,,,,,,,,
USW00094846,2016-03-10,0,49,,,,,,,,,
USW00094846,2016-03-11,0,43,,,,,,,,,
USW00094846,2016-03-12,0,43,1,,,,,,1,,
USW00094846,2016-03-13,0.66,47,1,,,,,,,,
USW00094846,2016-03-14,0.01,47,1,,,,,,,,
USW00094846,2016-03-15,0.14,49,1,,1,,,,1,,
USW00094846,2016-03-16,0.04,53,1,,1,,,,,,
USW00094846,2016-03-17,0,47,,,,,,,,,
USW00094846,2016-03-18,0,41,,,,,,,,,
USW00094846,2016-03-19,0,38,,,,,,,,,
USW00094846,2016-03-20,0,37,,,,,,,,,
USW00094846,2016-03-21,0,38,,,,,,,,,
USW00094846,2016-03-22,0,48,,,,,,,,,
USW00094846,2016-03-23,0.11,42,1,,,,,,,,
USW00094846,2016-03-24,1.09,37,1,,,,,,,,
USW00094846,2016-03-25,0,35,,,,,,,,,
USW00094846,2016-03-26,0,40,1,,,,,,,,
USW00094846,2016-03-27,0.32,47,1,,,,,,,,
USW00094846,2016-03-28,0,45,,,,,,,,,
USW00094846,2016-03-29,0,44,1,,,,,,1,,
USW00094846,2016-03-30,0.13,49,1,,1,,,,,,
USW00094846,2016-03-31,0.39,60,1,,1,,,,,,
USW00094846,2016-04-01,0.08,45,1,,,,,,,,
USW00094846,2016-04-02,0.02,35,1,,,,,,1,,
USW00094846,2016-04-03,0,40,,,,,,,,,
USW00094846,2016-04-04,0,41,,,,,,,,,
USW00094846,2016-04-05,0.02,33,,,,,,,,,
USW00094846,2016-04-06,0.31,44,1,,1,,,,,,
USW00094846,2016-04-07,0.06,40,1,,,,,,,,
USW00094846,2016-04-08,0.1,37,1,,,,,,1,,
USW00094846,2016-04-09,0,30,,,,,,,,,
USW00094846,2016-04-10,0.1,37,1,,,1,,,,,
USW00094846,2016-04-11,0,48,1,,,,,,,,
USW00094846,2016-04-12,0,40,,,,,,,,,
USW00094846,2016-04-13,0,43,,,,,,,,,
USW00094846,2016-04-14,0,48,,,,,,,,,
USW00094846,2016-04-15,0,53,,,,,,,,,
USW00094846,2016-04-16,0,58,,,,,,,1,,
USW00094846,2016-04-17,0,62,,,,,,,,,
USW00094846,2016-04-18,0,66,,,,,,,1,,
USW00094846,2016-04-19,0,54,,,,,,,,,
USW00094846,2016-04-20,0.48,58,1,,,,,,,,
USW00094846,2016-04-21,0.01,62,1,,,,,,1,,
USW00094846,2016-04-22,0,51,1,,,,,,,,
USW00094846,2016-04-23,0,48,,,,,,,,,
USW00094846,2016-04-24,0,56,,,,,,,1,,
USW00094846,2016-04-25,0.08,69,,,1,,1,,,,
USW00094846,2016-04-26,0,53,1,,,,,,,,
USW00094846,2016-04-27,0.47,44,1,,1,,,,,,
USW00094846,2016-04-28,0.45,45,1,,1,,,,,,
USW00094846,2016-04-29,0.01,44,1,,,,,,,,
USW00094846,2016-04-30,0.61,45,1,,,,,,1,,
USW00094846,2016-05-01,0.51,45,1,1,1,,,,,,
USW00094846,2016-05-02,0,49,,,,,,,,,
USW00094846,2016-05-03,0,53,,,,,,,,,
USW00094846,2016-05-04,0.4,52,1,,,,,,,,
USW00094846,2016-05-05,0,49,,,,,,,,,
USW00094846,2016-05-06,0,59,,,,,,,,,
USW00094846,2016-05-07,0.02,65,,,1,,,,,,
USW00094846,2016-05-08,0,55,,,,,,,1,,
USW00094846,2016-05-09,0.59,56,1,,,,,,,,
USW00094846,2016-05-10,0.79,54,1,1,,,,,,,
USW00094846,2016-05-11,0.19,58,1,1,1,,,,1,,
USW00094846,2016-05-12,0.48,61,1,,1,,,,1,,
USW00094846,2016-05-13,0.68,58,1,,,,,,,,
USW00094846,2016-05-14,0,46,,,,,,,,,
USW00094846,2016-05-15,0,45,,,,,,,,,
USW00094846,2016-05-16,0,56,,,,,,,,,
USW00094846,2016-05-17,0,54,,,,,,,,,
USW00094846,2016-05-18,0,52,,,,,,,,,
USW00094846,2016-05-19,0,55,,,,,,,,,
USW00094846,2016-05-20,0,58,,,,,,,,,
USW00094846,2016-05-21,0,62,,,,,,,,,
USW00094846,2016-05-22,0,66,,,,,,,,,
USW00094846,2016-05-23,0,66,,,,,,,,,
USW00094846,2016-05-24,0,72,,,,,,,,,
USW00094846,2016-05-25,0.95,76,1,,1,,,,,,
USW00094846,2016-05-26,0,71,1,,,,,,,,
USW00094846,2016-05-27,0.13,74,1,,1,,,,,,
USW00094846,2016-05-28,0.13,73,1,,1,,,,,,
USW00094846,2016-05-29,0,72,,,,,,,,,
USW00094846,2016-05-30,0,74,,,,,,,,,
USW00094846,2016-05-31,0.56,73,1,,1,,,,,,
USW00094846,2016-06-01,0.42,68,1,,,,,,1,,
USW00094846,2016-06-02,0,70,,,,,,,,,
USW00094846,2016-06-03,0,70,,,,,,,,,
USW00094846,2016-06-04,0.41,69,1,,,,,,,,
USW00094846,2016-06-05,0.05,68,,,,,,,,,
USW00094846,2016-06-06,0,71,,,,,,,,,
USW00094846,2016-06-07,0,63,,,,,,,,,
USW00094846,2016-06-08,0,61,,,,,,,,,
USW00094846,2016-06-09,0.21,61,1,,1,,,,,,
USW00094846,2016-06-10,0.1,74,1,,1,,,,,,
USW00094846,2016-06-11,0,82,,,,,,,,,
USW00094846,2016-06-12,0,71,,,,,,,,,
USW00094846,2016-06-13,0.02,68,,,,,,,,,
USW00094846,2016-06-14,0,74,,,,,,,1,,
USW00094846,2016-06-15,0.3,78,1,,1,,,,,,
USW00094846,2016-06-16,0,74,,,,,,,,,
USW00094846,2016-06-17,0,71,,,,,,,,,
USW00094846,2016-06-18,0,74,,,,,,,,,
USW00094846,2016-06-19,0,78,,,,,,,,,
USW00094846,2016-06-20,0,83,,,,,,,,,
USW00094846,2016-06-21,0,76,,,,,,,1,,
USW00094846,2016-06-22,1.31,72,1,1,1,,,,,,
USW00094846,2016-06-23,0,70,1,,,,,,1,,
USW00094846,2016-06-24,0,71,,,,,,,,,
USW00094846,2016-06-25,0,77,,,,,,,,,
USW00094846,2016-06-26,0.03,81,1,,,,,,,,
USW00094846,2016-06-27,0,80,,,,,,,,,
USW00094846,2016-06-28,0,68,,,,,,,,,
USW00094846,2016-06-29,0,67,,,,,,,,,
USW00094846,2016-06-30,0,69,,,,,,,,,
USW00094846,2016-07-01,0,69,,,,,,,,,
USW00094846,2016-07-02,0,65,,,,,,,,,
USW00094846,2016-07-03,0,68,,,,,,,,,
USW00094846,2016-07-04,0,71,1,,,,,,1,,
